_id,全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
2535,172014,AA0000001294,花園小学校（指定避難場所）,ハナゾノショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市今町ヌ34,石川県,金沢市,"","","",36.632644,136.708209,5,076-258-0133,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1226人,"","","","",洪水時２階以上使用可
2536,172014,AA0000001295,森本こどもグラウンド（指定避難場所）,モリモトコドモグラウンド（シテイヒナンバショ）,"",172014,"",石川県金沢市塚崎町ハ47-1,石川県,金沢市,"","","",36.615002,136.696808,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2537,172014,AA0000001296,森本しちょうが丘公園（指定避難場所）,モリモトシチョウガオカコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市南森本町ワ102　ほか,石川県,金沢市,"","","",36.616298,136.698479,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2538,172014,AA0000001297,吉原児童公園（指定避難場所）,ヨシハラジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市吉原町ヨ23,石川県,金沢市,"","","",36.609586,136.692535,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2539,172014,AA0000001298,森本市民体育館（指定避難場所）,モリモトシミンタイイクカン（シテイヒナンバショ）,"",172014,"",石川県金沢市弥勒町ヨ50-1,石川県,金沢市,"","","",36.615877,136.6925,5.7,076-257-1906,"","","","","",172014,石川県金沢市,"",1,"",1,1,"","","",1,399人,"","","","",""
2540,172014,AA0000001299,森本公民館（指定避難場所）,モリモトコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市南森本町チ103-1,石川県,金沢市,"","","",36.616718,136.693325,5.6,076-258-0317,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,153人,"","","","",洪水時２階以上使用可
2541,172014,AA0000001300,金沢北陵高等学校（指定避難場所）,カナザワホクリョウコウトウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市吉原町ワ21,石川県,金沢市,"","","",36.607317,136.692459,61.7,076-258-1100,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,624人,"","","","",""
2542,172014,AA0000001301,森本中学校（指定避難場所）,モリモトチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市弥勒町ヨ22,石川県,金沢市,"","","",36.615833,136.691603,4.9,076-258-0059,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,3433人,"","","","",洪水時２階以上使用可
2543,172014,AA0000001302,森本小学校（指定避難場所）,モリモトショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市南森本町イ111,石川県,金沢市,"","","",36.622793,136.693039,4.5,076-258-0048,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,2060人,"","","","",洪水時２階以上使用可
2544,172014,AA0000001303,医王山公民館（指定避難場所）,イオウゼンコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市二俣町六字14-9,石川県,金沢市,"","","",36.562139,136.761959,81.4,076-236-1233,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,160人,"","","","",""
2545,172014,AA0000001304,医王山中学校（指定避難場所）,イオウゼンチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市二俣町さ21,石川県,金沢市,"","","",36.555637,136.759845,117.6,076-236-1013,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,701人,"","","","",""
2546,172014,AA0000001305,医王山小学校（指定避難場所）,イオウゼンショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市二俣町さ21,石川県,金沢市,"","","",36.555637,136.759845,117.6,076-236-1013,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,770人,"","","","",""
2547,172014,AA0000001306,戸室スポーツ広場（指定避難場所）,トムロスポーツヒロバ（シテイヒナンバショ）,"",172014,"",石川県金沢市戸室新保ト35,石川県,金沢市,"","","",36.545337,136.73246,"",076-236-1322,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2548,172014,AA0000001307,俵公民館（指定避難場所）,タワラコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市俵町ツ63-2,石川県,金沢市,"","","",36.53441,136.725022,"",076-222-4855,"","","","","",172014,石川県金沢市,1,1,"","",1,"","","",1,45人,"","","","",""
2549,172014,AA0000001308,俵芸術交流スタジオ（指定避難場所）,タワラゲイジュツコウリュウスタジオ（シテイヒナンバショ）,"",172014,"",石川県金沢市俵町へ乙22,石川県,金沢市,"","","",36.534358,136.723683,229.5,076-225-7612,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,695人,"","","","",""
2550,172014,AA0000001309,旧東浅川小学校（指定避難場所）,キュウヒガシアサカワショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市浅川町イ130,石川県,金沢市,"","","",36.518608,136.706352,67,076-229-1015,"","","","","",172014,石川県金沢市,1,"","",1,1,"","","",1,1133人,"","","","",""
2551,172014,AA0000001310,太陽が丘詩の木公園（指定避難場所）,タイヨウガオカシノキコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市太陽が丘2-213,石川県,金沢市,"","","",36.529674,136.7061,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2552,172014,AA0000001311,太陽が丘ゆうひみ公園（指定避難場所）,タイヨウガオカユウヒミコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市太陽が丘2-266,石川県,金沢市,"","","",36.5337,136.705724,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2553,172014,AA0000001312,奥卯辰山健民公園（指定避難場所）,オクウタツヤマケンミンコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市若松町エ85,石川県,金沢市,"","","",36.559773,136.696186,"",076-264-0395,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2554,172014,AA0000001313,医王の杜公園（指定避難場所）,イオウノモリコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市もりの里1丁目1000,石川県,金沢市,"","","",36.552388,136.68771,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2555,172014,AA0000001314,若松八幡さん公園（指定避難場所）,ワカマツヤハタサンコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市若松町3丁目1000,石川県,金沢市,"","","",36.557408,136.689092,"","","","","","","",172014,石川県金沢市,"","","",1,1,"","","","","","","","","",""
2556,172014,AA0000001315,中瀬栃の木公園（指定避難場所）,ナカセトチノキコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市上若松町1000,石川県,金沢市,"","","",36.550311,136.691578,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2557,172014,AA0000001316,若松せせらぎ公園（指定避難場所）,ワカマツセセラギコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市若松町1000,石川県,金沢市,"","","",36.554254,136.691648,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2558,172014,AA0000001317,浅野川すずかけ公園（指定避難場所）,アサノガワスズカケコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市もりの里2丁目1000,石川県,金沢市,"","","",36.555622,136.684999,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2559,172014,AA0000001318,若松町第２児童公園（指定避難場所）,ワカマツマチダイ２ジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市若松町ツ168-1,石川県,金沢市,"","","",36.557987,136.693979,"","","","","","","",172014,石川県金沢市,"","","",1,1,"","","","","","","","","",""
2560,172014,AA0000001319,田上中央公園（指定避難場所）,タガミチュウオウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市田上１丁目6,石川県,金沢市,"","","",36.543353,136.696564,"","","","","","","",172014,石川県金沢市,"","","",1,1,"","","","","","","","","",""
2561,172014,AA0000001320,旭町中央公園（指定避難場所）,アサヒマチチュウオウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市旭町２丁目207,石川県,金沢市,"","","",36.553771,136.683998,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2562,172014,AA0000001321,旭町なかよし公園（指定避難場所）,アサヒマチナカヨシコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市旭町２丁目8,石川県,金沢市,"","","",36.555602,136.681364,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2563,172014,AA0000001322,旭町河畔公園（指定避難場所）,アサヒマチカハンコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市旭町１丁目52,石川県,金沢市,"","","",36.550845,136.687877,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2564,172014,AA0000001323,田上児童公園（指定避難場所）,タガミジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市田上新町234-1,石川県,金沢市,"","","",36.543126,136.699845,"","","","","","","",172014,石川県金沢市,"","","",1,1,"","","","","","","","","",""
2565,172014,AA0000001324,田上公民館（指定避難場所）,タガミコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市田上の里2-3,石川県,金沢市,"","","",36.545417,136.692066,"",076-261-1331,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,157人,"","","","",""
2566,172014,AA0000001325,田上小学校（指定避難場所）,タガミショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市田上の里2-１,石川県,金沢市,"","","",36.546169,136.692973,52,076-221-3353,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1851人,"","","","",""
2567,172014,AA0000001326,杜の里小学校（指定避難場所）,モリノサトショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市若松町3-282,石川県,金沢市,"","","",36.557429,136.686316,32.1,076-222-1150,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,2476人,"","","","",""
2568,172014,AA0000001327,芝原中学校（指定避難場所）,シバハラチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市湯涌荒屋町23,石川県,金沢市,"","","",36.491809,136.753296,142.5,076-235-1009,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,875人,"","","","",""
2569,172014,AA0000001328,湯涌小学校（指定避難場所）,ユワクショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市湯涌荒屋町23,石川県,金沢市,"","","",36.491809,136.753296,142.5,076-235-1039,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1031人,"","","","",""
2570,172014,AA0000001329,犀清台児童公園（指定避難場所）,サイセイダイジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市末町13の52-32,石川県,金沢市,"","","",36.522795,136.684472,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2571,172014,AA0000001330,金沢学院大学附属高等学校（指定避難場所）,カナザワガクインダイガクフゾクコウトウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市末町10,石川県,金沢市,"","","",36.514181,136.695481,"",076-229-1180,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,506人,"","","","",""
2572,172014,AA0000001331,金沢辰巳丘高校（指定避難場所）,カナザワタツミガオカコウコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市末町ニ18,石川県,金沢市,"","","",36.520514,136.690984,"",076-229-2552,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1347人,"","","","",""
2573,172014,AA0000001332,犀生中学校（指定避難場所）,サイセイチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市末町10-4,石川県,金沢市,"","","",36.514507,136.700255,140.7,076-229-3347,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,2136人,"","","","",""
2574,172014,AA0000001333,駒帰資料保管所（旧駒帰小学校）（指定避難場所）,コマガエリシリョウホカンジョ（キュウコマガエリショウガッコウ）（シテイヒナンバショ）,"",172014,"",石川県金沢市駒帰町ヌ40-1,石川県,金沢市,"","","",36.483192,136.727916,"","","","","","","",172014,石川県金沢市,1,"","","",1,"","","",1,278人,"","","","",""
2575,172014,AA0000001334,犀川小学校（指定避難場所）,サイガワショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市末町2-148,石川県,金沢市,"","","",36.51151,136.698041,120.6,076-229-0008,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1631人,"","","","",""
2576,172014,AA0000001335,内川スポーツ広場（指定避難場所）,ウチカワスポーツヒロバ（シテイヒナンバショ）,"",172014,"",石川県金沢市山川町1-1,石川県,金沢市,"","","",36.51122284,136.6864792,"",076-229-4013,"","","","","",172014,石川県金沢市,"","","",1,1,"","","","","","","","","",""
2577,172014,AA0000001336,内川公民館（指定避難場所）,ウチカワコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市三小牛町20-1-10,石川県,金沢市,"","","",36.509824,136.67496,177.8,076-247-2263,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,110人,"","","","",""
2578,172014,AA0000001337,内川中学校（指定避難場所）,ウチカワチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市別所町ヰ18,石川県,金沢市,"","","",36.504466,136.676113,219.4,076-241-4039,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,707人,"","","","",""
2579,172014,AA0000001338,内川小学校（指定避難場所）,ウチカワショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市別所町ヰ18,石川県,金沢市,"","","",36.504466,136.676113,219.4,076-241-4039,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,896人,"","","","",""
2580,172014,AA0000001339,土清水たかみ公園（指定避難場所）,ツチシミズタカミコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市土清水２丁目337,石川県,金沢市,"","","",36.52556,136.691031,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2581,172014,AA0000001340,土清水なかの公園（指定避難場所）,ツチシミズナカノコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市土清水１丁目297,石川県,金沢市,"","","",36.528314,136.691364,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2582,172014,AA0000001341,土清水みすぎ公園（指定避難場所）,ツチシミズミスギコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市土清水3-66,石川県,金沢市,"","","",36.532092,136.690983,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2583,172014,AA0000001342,小立野児童公園（指定避難場所）,コダツノジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市小立野1-729,石川県,金沢市,"","","",36.545208,136.682984,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2584,172014,AA0000001343,三口新町第３児童公園（指定避難場所）,ミツクチシンマチダイ３ジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市三口新町4-266,石川県,金沢市,"","","",36.543876,136.677121,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2585,172014,AA0000001344,三口新町第２児童公園（指定避難場所）,ミツクチシンマチダイ２ジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市三口新町2-145,石川県,金沢市,"","","",36.539731,136.68081,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2586,172014,AA0000001345,三口新町第１児童公園（指定避難場所）,ミツクチシンマチダイ１ジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市三口新町3-294,石川県,金沢市,"","","",36.543896,136.681155,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2587,172014,AA0000001346,涌波堤公園（指定避難場所）,ワクナミツツミコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市涌波1-199,石川県,金沢市,"","","",36.533319,136.688818,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2588,172014,AA0000001347,城東市民体育館（指定避難場所）,ジョウトウシミンタイイクカン（シテイヒナンバショ）,"",172014,"",石川県金沢市土清水2-346,石川県,金沢市,"","","",36.524789,136.691267,118.1,076-229-3230,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,500人,"","","","",""
2589,172014,AA0000001348,南小立野小学校（指定避難場所）,ミナミコダツノショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市涌波2-5-1,石川県,金沢市,"","","",36.537231,136.681246,60.9,076-261-9414,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,2011人,"","","","",""
2590,172014,AA0000001349,笠舞第３児童公園（指定避難場所）,カサマイダイ３ジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市笠舞1-234,石川県,金沢市,"","","",36.547925,136.675375,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2591,172014,AA0000001350,崎浦公民館（指定避難場所）,サキウラコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市小立野2-41-36,石川県,金沢市,"","","",36.546794,136.680462,73.8,076-231-6851,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,140人,"","","","",""
2592,172014,AA0000001351,小立野公民館（指定避難場所）,コダツノコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市小立野4-7-51,石川県,金沢市,"","","",36.550971,136.679032,68,076-221-0807,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,160人,"","","","",""
2593,172014,AA0000001352,金沢美術工芸大学（指定避難場所）,カナザワビジュツコウゲイダイガク（シテイヒナンバショ）,"",172014,"",石川県金沢市小立野5-11-1,石川県,金沢市,"","","",36.556157,136.67731,"",076-262-3531,"","","","","",172014,石川県金沢市,1,1,"","",1,"","","",1,386人,"","","","",""
2594,172014,AA0000001353,北陸学院高等学校（指定避難場所）,ホクリクガクインコウトウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市飛梅町1-10,石川県,金沢市,"","","",36.55945,136.667089,"",076-221-1944,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,606人,"","","","",""
2595,172014,AA0000001354,金沢商業高等学校（指定避難場所）,カナザワショウギョウコウトウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市小立野5-4-1,石川県,金沢市,"","","",36.55312,136.678537,"",076-262-8281,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,927人,"","","","",""
2596,172014,AA0000001355,紫錦台中学校（指定避難場所）,シキンダイチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市飛梅町3-30,石川県,金沢市,"","","",36.558063,136.668857,55,076-262-7268,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,2791人,"","","","",""
2597,172014,AA0000001356,小立野小学校（指定避難場所）,コダツノショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市小立野4-7-7,石川県,金沢市,"","","",36.551538,136.678696,66,076-232-1283,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,3412人,"","","","",""
2598,172014,AA0000001357,大野町公民館（指定避難場所）,オオノマチコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市大野町1-8-5,石川県,金沢市,"","","",36.610866,136.60288,3,076-268-3896,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,61人,"","","","",洪水時２階以上使用可
2599,172014,AA0000001358,大野町小学校（指定避難場所）,オオノマチショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市大野町1-15,石川県,金沢市,"","","",36.610354,136.60336,2.4,076-267-1466,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1142人,"","","","",洪水時２階以上使用可
2600,172014,AA0000001359,金石銭五公園（指定避難場所）,カナイワゼニゴコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市金石北2-147,石川県,金沢市,"","","",36.607623,136.597182,"","","","","","","",172014,石川県金沢市,1,1,"",1,1,"","","","","","","","","",""
2601,172014,AA0000001360,松寿荘（指定避難場所）,ショウジュソウ（シテイヒナンバショ）,"",172014,"",石川県金沢市金石北3-3-33,石川県,金沢市,"","","",36.608001,136.599509,11,076-268-6757,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,537人,"","","","",""
2602,172014,AA0000001361,金石町公民館（指定避難場所）,カナイワマチコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市金石通町3-14,石川県,金沢市,"","","",36.604349,136.594289,4.4,076-267-2774,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,160人,"","","","",""
2603,172014,AA0000001362,金石中学校（指定避難場所）,カナイワチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市金石東1-13-1,石川県,金沢市,"","","",36.60018,136.597524,1.8,076-267-2245,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,3985人,"","","","",洪水時２階以上使用可
2604,172014,AA0000001363,無量寺公園（指定避難場所）,ムリョウジコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市無量寺3-14,石川県,金沢市,"","","",36.605021,136.608341,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2605,172014,AA0000001364,城西市民体育館（指定避難場所）,ジョウサイシミンタイイクカン（シテイヒナンバショ）,"",172014,"",石川県金沢市木曳野1-3,石川県,金沢市,"","","",36.598012,136.603011,2.1,076-268-3899,"","","","","",172014,石川県金沢市,"",1,"",1,1,"","","",1,399人,"","","","",""
2606,172014,AA0000001365,大徳公民館（指定避難場所）,ダイトクコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市畝田西1-201-1,石川県,金沢市,"","","",36.59234,136.609935,2.3,076-268-3214,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,270人,"","","","",洪水時２階以上使用可
2607,172014,AA0000001366,大徳中学校（指定避難場所）,ダイトクチュウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市観音堂町ト35,石川県,金沢市,"","","",36.590408,136.607378,3.5,076-267-5027,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,3362人,"","","","",洪水時２階以上使用可
